# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  1785.64 7.8292e-16   1862.09 0 
  1793.89 8.4473e-16   1870.68 0 
  1806.32 8.4863e-16   1883.65 0 
  1814.66 7.9748e-16   1892.34 0 
  1823.03 8.2360e-16   1901.08 0 
  1835.67 8.0300e-16   1914.26 0 
  1844.14 7.4768e-16   1923.09 0 
  1856.93 7.6158e-16   1936.42 0 
  1865.50 7.9381e-16   1945.36 0 
  1874.11 8.6840e-16   1954.34 0 
  1887.10 8.1230e-16   1967.89 0 
  1895.81 7.8835e-16   1976.97 0 
  1904.56 8.4473e-16   1986.10 0 
  1913.35 8.2550e-16   1995.26 0 
  1926.61 8.2171e-16   2009.09 0 
  1935.51 8.5255e-16   2018.37 0 
  1944.44 9.0099e-16   2027.68 0 
  1953.42 8.5648e-16   2037.04 0 
  1966.96 9.4562e-16   2051.16 0 
  1976.04 9.7885e-16   2060.63 0 
  1985.16 9.3480e-16   2070.14 0 
  1994.32 9.1985e-16   2079.70 0 
  2003.52 9.5437e-16   2089.30 0 
  2012.77 9.3480e-16   2098.94 0 
  2026.73 9.8564e-16   2113.49 0 
  2036.08 9.4780e-16   2123.24 0 
  2045.48 9.9476e-16   2133.04 0 
  2054.92 9.6320e-16   2142.89 0 
  2064.40 9.7885e-16   2152.78 0 
  2073.93 1.0513e-15   2162.72 0 
  2078.71 1.0063e-15   2167.70 0 
  2083.51 1.0464e-15   2172.70 0 
  2093.12 1.0017e-15   2182.73 0 
  2102.79 1.0203e-15   2192.81 0 
  2117.36 1.0392e-15   2208.01 0 
  2127.13 1.0659e-15   2218.20 0 
  2136.95 1.0040e-15   2228.44 0 
  2146.82 1.0369e-15   2238.72 0 
  2156.73 1.0832e-15   2249.05 0 
  2166.68 1.0610e-15   2259.44 0 
  2176.68 1.0610e-15   2269.86 0 
  2186.73 1.0537e-15   2280.34 0 
  2196.82 1.1136e-15   2290.87 0 
  2206.96 1.0933e-15   2301.44 0 
  2217.15 1.0542e-15   2312.07 0 
  2227.38 1.0306e-15   2322.74 0 
  2232.52 1.1071e-15   2328.09 0 
  2242.82 1.0699e-15   2338.84 0 
  2253.17 1.0436e-15   2349.63 0 
  2263.57 1.0733e-15   2360.48 0 
  2274.02 1.1115e-15   2371.37 0 
  2284.52 1.1458e-15   2382.32 0 
  2295.06 1.0947e-15   2393.32 0 
  2305.66 1.1053e-15   2404.36 0 
  2316.30 1.0707e-15   2415.46 0 
  2326.99 8.6664e-16   2426.61 0 
  2332.36 1.0231e-15   2432.20 0 
  2343.12 1.0003e-15   2443.43 0 
  2353.94 1.0822e-15   2454.71 0 
  2364.80 1.0128e-15   2466.04 0 
  2375.72 1.0512e-15   2477.42 0 
  2386.68 9.8830e-16   2488.86 0 
  2397.70 1.0595e-15   2500.35 0 
  2403.23 1.0261e-15   2506.11 0 
  2414.32 1.0553e-15   2517.68 0 
  2425.46 1.1158e-15   2529.30 0 
  2436.66 1.0808e-15   2540.97 0 
  2442.28 1.1451e-15   2546.83 0 
  2453.55 1.1352e-15   2558.59 0 
  2464.87 1.1383e-15   2570.40 0 
  2476.25 1.1103e-15   2582.26 0 
  2487.68 1.1525e-15   2594.18 0 
  2493.42 1.0959e-15   2600.16 0 
  2504.93 1.2133e-15   2612.16 0 
  2510.70 1.1093e-15   2618.18 0 
  2516.49 1.1433e-15   2624.22 0 
  2522.29 1.0997e-15   2630.27 0 
  2533.93 1.1155e-15   2642.41 0 
  2545.63 1.1058e-15   2654.61 0 
  2557.38 1.1800e-15   2666.86 0 
  2563.27 1.1667e-15   2673.01 0 
  2575.10 1.2336e-15   2685.34 0 
  2586.99 1.2342e-15   2697.74 0 
  2592.95 1.2288e-15   2703.96 0 
  2604.92 1.1987e-15   2716.44 0 
  2616.95 1.1937e-15   2728.98 0 
  2622.98 1.2446e-15   2735.27 0 
  2635.09 1.2742e-15   2747.89 0 
  2647.25 1.3723e-15   2760.58 0 
  2653.35 1.3917e-15   2766.94 0 
  2665.60 1.3024e-15   2779.71 0 
  2677.90 1.3582e-15   2792.54 0 
  2684.08 1.3617e-15   2798.98 0 
  2696.46 1.3191e-15   2811.90 0 
  2702.68 1.3533e-15   2818.38 0 
  2715.16 1.3110e-15   2831.39 0 
  2727.69 1.3177e-15   2844.46 0 
  2733.98 1.3834e-15   2851.02 0 
  2746.60 1.2421e-15   2864.18 0 
  2752.93 1.2684e-15   2870.78 0 
  2765.63 1.3137e-15   2884.03 0 
  2772.01 1.3728e-15   2890.68 0 
  2784.81 1.3299e-15   2904.02 0 
  2797.66 1.1118e-15   2917.43 0 
  2804.11 1.1917e-15   2924.15 0 
  2817.05 1.4008e-15   2937.65 0 
  2823.55 1.4471e-15   2944.42 0 
  2836.58 1.4051e-15   2958.01 0 
  2843.12 1.3862e-15   2964.83 0 
  2856.24 1.3648e-15   2978.52 0 
  2862.82 1.4594e-15   2985.38 0 
  2876.04 1.4534e-15   2999.16 0 
  2882.67 1.4673e-15   3006.08 0 
  2895.98 1.4579e-15   3019.95 0 
  2909.34 1.5594e-15   3033.89 0 
  2929.51 1.5322e-15   3054.92 0 
  2949.81 1.5264e-15   3076.10 0 
