# An Atlas of Galaxy Spectral Energy Distributions from the Ultraviolet to the Mid-Infrared
# Brown et al. (2014)
# http://dx.doi.org/10.5072/03/529D3551F0117
# 
# Column 1 : Restframe Wavelength (Angstrom)
# Column 2 : Flux per unit wavelength (ergs/s/cm^2/Angstrom)
# Column 3 : Observed wavelength (Angstrom)
# Column 4 : Source (0 = model, 1 = Optical Spectrum, 2 = Akari, 3 = Spitzer IRS)
# 
  3168.20 3.4881e-15   3265.88 0 
  3190.16 3.3993e-15   3288.52 0 
  3212.27 3.4530e-15   3311.31 0 
  3227.10 3.4124e-15   3326.60 0 
  3249.47 3.4344e-15   3349.66 0 
  3272.00 3.4407e-15   3372.87 0 
  3287.10 3.4316e-15   3388.44 0 
  3309.88 3.4299e-15   3411.93 0 
  3325.16 3.4845e-15   3427.68 0 
  3332.83 3.4599e-15   3435.58 0 
  3340.51 3.3342e-15   3443.50 0 
  3348.21 3.4587e-15   3451.44 0 
  3355.93 3.3484e-15   3459.39 0 
  3363.66 3.3402e-15   3467.37 0 
  3371.42 3.2486e-15   3475.36 0 
  3379.19 3.3777e-15   3483.37 0 
  3386.98 3.4877e-15   3491.40 0 
  3394.79 3.4551e-15   3499.45 0 
  3402.61 3.4071e-15   3507.52 0 
  3410.46 3.2985e-15   3515.60 0 
  3418.32 3.3903e-15   3523.71 0 
  3426.20 3.4368e-15   3531.83 0 
  3434.10 3.4283e-15   3539.97 0 
  3442.01 3.3806e-15   3548.13 0 
  3449.95 3.3722e-15   3556.31 0 
  3457.90 3.2715e-15   3564.51 0 
  3465.87 3.2769e-15   3572.73 0 
  3473.86 3.3357e-15   3580.96 0 
  3481.87 3.3029e-15   3589.22 0 
  3489.90 3.3699e-15   3597.49 0 
  3497.94 3.3522e-15   3605.79 0 
  3506.01 3.2888e-15   3614.10 0 
  3514.09 3.2640e-15   3622.43 0 
  3522.19 3.3301e-15   3630.78 0 
  3530.31 3.3050e-15   3639.15 0 
  3538.45 3.3410e-15   3647.54 0 
  3546.60 3.3619e-15   3655.95 0 
  3554.78 3.3829e-15   3664.37 0 
  3562.97 3.3807e-15   3672.82 0 
  3568.73 2.3917e-15   3678.76 1 
  3571.40 1.9716e-15   3681.51 1 
  3574.07 3.2022e-15   3684.26 1 
  3576.74 4.7550e-15   3687.01 1 
  3579.40 3.2578e-15   3689.76 1 
  3582.07 8.2295e-16   3692.51 1 
  3584.74 3.6781e-17   3695.26 1 
  3587.41 2.0677e-15   3698.01 1 
  3590.07 1.8604e-15   3700.76 1 
  3592.74 5.9264e-15   3703.51 1 
  3595.41 5.9176e-15   3706.26 1 
  3598.08 3.9876e-15   3709.01 1 
  3600.75 1.1767e-15   3711.76 1 
  3603.41 7.0915e-16   3714.51 1 
  3606.08 1.9259e-15   3717.26 1 
  3608.75 2.7547e-15   3720.01 1 
